Date,Open,High,Low,Close,Volume,Adj Close
2014-04-14,85.09,86.34,84.04,85.50,4011900,85.50
2014-04-11,84.90,85.45,83.99,84.54,4014300,84.54
2014-04-10,88.47,88.75,85.30,85.36,5213800,85.36
2014-04-09,86.90,88.72,86.64,88.72,3592900,88.72
2014-04-08,86.63,86.80,85.58,86.49,3880300,86.49
2014-04-07,89.03,89.43,86.55,86.60,5557600,86.60
2014-04-04,91.17,91.40,89.07,89.17,2933600,89.17
2014-04-03,90.67,91.20,90.40,90.98,2483600,90.98
2014-04-02,90.85,91.09,90.13,90.40,2886700,90.40
2014-04-01,90.40,91.23,90.21,91.17,2821600,90.94
2014-03-31,91.08,91.94,89.88,90.03,5172400,89.80
2014-03-28,90.27,91.56,90.00,90.46,3138900,90.23
2014-03-27,89.70,90.43,89.27,89.99,3602800,89.76
2014-03-26,91.36,91.69,89.63,89.66,3011200,89.43
2014-03-25,91.37,91.90,90.63,90.84,2420000,90.61
2014-03-24,91.64,91.75,90.29,91.01,2520600,90.78
2014-03-21,92.78,93.72,91.36,91.52,6684500,91.29
2014-03-20,90.48,91.90,90.23,91.69,3779700,91.46
2014-03-19,91.67,91.96,90.28,90.73,3425700,90.50
2014-03-18,91.27,91.97,91.13,91.59,2348300,91.36
2014-03-17,90.51,91.73,90.49,91.26,3033000,91.03
2014-03-14,90.55,91.22,89.64,90.17,3583900,89.94
2014-03-13,93.20,93.48,90.41,90.69,3990200,90.46
2014-03-12,92.68,92.92,91.90,92.90,2486100,92.67
2014-03-11,93.83,93.88,93.03,93.20,1946200,92.96
2014-03-10,93.62,93.88,93.14,93.70,2218700,93.46
2014-03-07,94.11,94.35,93.36,93.86,3864600,93.62
2014-03-06,92.56,93.64,92.36,93.52,3957900,93.28
2014-03-05,92.59,92.59,91.91,92.14,3086400,91.91
2014-03-04,91.05,92.68,91.03,92.61,3752000,92.38
2014-03-03,90.60,90.63,89.16,89.97,3465300,89.74
2014-02-28,90.25,92.14,90.09,91.28,4689200,91.05
2014-02-27,89.65,90.43,89.51,90.29,3075600,90.06
2014-02-26,90.16,90.69,89.21,89.73,4840200,89.50
2014-02-25,90.00,90.37,89.15,89.91,2914800,89.68
2014-02-24,88.79,90.43,88.79,89.92,3261200,89.69
2014-02-21,89.06,89.41,88.56,88.75,3808700,88.53
2014-02-20,88.80,89.23,88.12,89.01,4411800,88.79
2014-02-19,88.89,90.32,88.75,88.84,4332300,88.62
2014-02-18,88.80,89.14,88.29,89.02,3591600,88.80
2014-02-14,88.86,89.27,88.26,89.00,2671800,88.78
2014-02-13,88.37,88.98,88.01,88.90,2759700,88.68
2014-02-12,88.69,89.05,88.40,89.02,2488600,88.80
2014-02-11,88.36,88.84,88.17,88.58,3602400,88.36
2014-02-10,87.83,88.96,87.50,88.34,5387900,88.12
2014-02-07,85.96,87.17,85.78,87.00,4495200,86.78
2014-02-06,84.50,85.76,84.32,85.69,5432400,85.47
2014-02-05,83.51,84.12,82.95,83.72,3260100,83.51
2014-02-04,83.19,84.71,82.63,84.00,5380500,83.79
2014-02-03,84.99,85.42,82.77,82.86,5769800,82.65
2014-01-31,85.28,85.91,84.91,85.02,4778000,84.81
2014-01-30,86.45,86.98,86.07,86.62,4259000,86.40
2014-01-29,86.29,86.90,85.43,85.55,3357900,85.33
2014-01-28,85.85,87.18,85.60,86.64,4108700,86.42
2014-01-27,87.15,87.77,85.71,85.72,5651400,85.50
2014-01-24,88.56,89.37,86.66,86.95,6289300,86.73
2014-01-23,90.49,90.49,88.68,89.17,5260900,88.95
2014-01-22,90.64,91.42,90.62,91.13,3848700,90.90
2014-01-21,91.97,92.71,89.64,90.59,7954600,90.36
2014-01-17,91.83,93.62,90.55,90.97,14989900,90.74
2014-01-16,88.00,88.24,87.26,87.78,3326100,87.56
2014-01-15,87.46,88.53,87.08,88.25,4494900,88.03
2014-01-14,87.08,87.45,86.07,87.12,4777900,86.90
2014-01-13,88.52,89.00,86.88,86.99,5641000,86.77
2014-01-10,89.26,89.56,88.10,88.55,2901600,88.33
