Date,Open,High,Low,Close,Volume,Adj Close
2014-04-14,102.18,102.83,100.95,102.78,4114100,102.78
2014-04-11,101.10,102.10,100.97,101.45,5363900,101.45
2014-04-10,102.91,103.72,101.99,102.26,4538900,102.26
2014-04-09,102.65,103.20,101.85,102.99,4062000,102.99
2014-04-08,100.98,103.25,100.96,102.39,6626900,102.39
2014-04-07,101.61,102.07,100.41,101.11,5215100,101.11
2014-04-04,102.89,103.38,101.91,102.17,4889200,102.17
2014-04-03,101.92,103.20,101.61,102.55,8213800,102.55
2014-04-02,100.04,102.76,99.88,102.63,9358300,102.63
2014-04-01,98.94,100.08,98.94,99.81,4814300,99.81
2014-03-31,100.00,100.63,99.05,99.37,5772600,99.37
2014-03-28,98.91,99.62,98.78,99.39,5821500,99.39
2014-03-27,97.82,98.89,97.29,98.45,4947700,98.45
2014-03-26,99.28,99.60,97.80,97.80,5610200,97.80
2014-03-25,97.36,99.34,97.15,98.59,9070400,98.59
2014-03-24,97.60,97.60,96.42,96.85,4808600,96.85
2014-03-21,97.07,97.63,96.67,97.39,8339700,97.39
2014-03-20,95.71,96.24,95.10,96.21,4396000,96.21
2014-03-19,96.09,96.72,95.25,96.04,5109200,96.04
2014-03-18,96.12,96.65,95.70,96.41,4921300,96.41
2014-03-17,95.99,96.45,95.55,95.67,4697200,95.67
2014-03-14,95.45,96.25,95.20,95.39,5002000,95.39
2014-03-13,97.20,97.73,95.06,95.61,8434600,95.61
2014-03-12,96.30,97.24,96.30,96.82,4448600,96.82
2014-03-11,97.09,97.91,96.62,96.84,5731200,96.84
2014-03-10,96.64,96.80,95.86,96.75,4640300,96.75
2014-03-07,97.78,97.87,96.50,97.05,5259200,97.05
2014-03-06,96.95,98.15,96.66,97.60,6714300,97.60
2014-03-05,96.54,96.90,95.88,96.37,5384800,96.37
2014-03-04,97.20,97.46,96.56,97.02,6261300,97.02
2014-03-03,96.32,96.67,95.60,96.31,4859200,96.31
2014-02-28,96.63,97.52,96.30,96.97,5411100,96.97
2014-02-27,97.21,97.64,96.52,96.70,4337700,96.70
2014-02-26,96.66,97.91,96.34,97.20,4753900,97.20
2014-02-25,96.84,96.98,95.82,96.41,5989200,96.41
2014-02-24,97.55,98.24,97.18,97.32,4887800,97.32
2014-02-21,97.11,97.95,96.92,97.50,5554600,97.50
2014-02-20,96.51,97.52,95.30,96.92,7718400,96.92
2014-02-19,96.19,97.67,96.11,96.21,5865200,96.21
2014-02-18,95.85,96.94,95.85,96.56,4871700,96.56
2014-02-14,95.86,96.68,95.84,96.55,4145300,96.55
2014-02-13,95.29,96.41,95.11,96.11,4387000,96.11
2014-02-12,95.31,96.64,95.17,96.17,8002000,96.17
2014-02-11,94.62,95.34,94.28,94.96,6006100,94.96
2014-02-10,94.97,94.98,93.63,94.50,5933400,94.50
2014-02-07,94.17,95.24,93.88,94.87,9140200,94.87
2014-02-06,91.94,94.23,91.79,93.83,6844200,93.83
2014-02-05,92.24,92.51,91.06,91.96,5134500,91.96
2014-02-04,92.48,92.65,91.49,92.50,6839700,92.50
2014-02-03,93.74,93.94,91.95,92.42,9084100,92.42
2014-01-31,92.16,94.69,92.01,93.91,9697300,93.91
2014-01-30,91.53,93.85,90.73,93.20,14764700,93.20
2014-01-29,91.31,91.96,90.29,90.62,8145900,90.62
2014-01-28,91.40,92.67,91.35,92.47,9409600,92.47
2014-01-27,91.77,92.31,89.07,91.29,22202300,91.29
2014-01-24,87.98,87.99,85.88,86.17,8087400,86.17
2014-01-23,88.70,89.08,88.05,88.48,5014800,88.48
2014-01-22,90.59,90.82,89.35,89.64,4787300,89.64
2014-01-21,91.60,91.85,89.64,90.60,5544900,90.60
2014-01-17,92.15,92.26,91.01,91.44,6833400,91.44
2014-01-16,91.89,92.86,91.70,92.01,4771000,92.01
2014-01-15,90.88,93.20,90.88,92.41,10121900,91.81
2014-01-14,89.86,90.71,89.86,90.56,3712100,89.97
2014-01-13,90.26,91.26,89.82,89.89,5213600,89.31
2014-01-10,89.41,90.60,89.29,90.51,5416000,89.92
