Date,Open,High,Low,Close,Volume,Adj Close
2014-04-14,117.84,118.83,117.34,118.70,6817700,118.70
2014-04-11,116.50,117.73,116.50,117.03,7028800,117.03
2014-04-10,117.20,118.06,116.55,116.69,8769200,116.69
2014-04-09,117.83,119.25,117.59,119.10,5376500,119.10
2014-04-08,117.66,118.31,117.18,117.80,4706100,117.80
2014-04-07,118.32,118.82,117.34,117.34,5241300,117.34
2014-04-04,119.75,119.75,118.59,118.80,5301300,118.80
2014-04-03,119.78,119.79,118.89,119.04,4446400,119.04
2014-04-02,118.52,119.54,118.52,119.35,4505600,119.35
2014-04-01,119.15,119.61,118.84,119.00,5391400,119.00
2014-03-31,118.79,119.62,118.49,118.91,5482700,118.91
2014-03-28,118.13,118.55,117.70,118.50,5875100,118.50
2014-03-27,117.75,117.99,116.83,117.67,5224600,117.67
2014-03-26,117.80,118.28,117.36,117.71,5971600,117.71
2014-03-25,116.23,117.19,116.21,117.09,5573000,117.09
2014-03-24,116.00,116.69,115.65,115.85,5386900,115.85
2014-03-21,116.29,118.00,115.58,115.63,14893600,115.63
2014-03-20,114.85,116.08,114.32,115.51,5280600,115.51
2014-03-19,115.88,116.74,114.66,115.20,5569600,115.20
2014-03-18,115.62,116.56,115.20,116.24,6329600,116.24
2014-03-17,114.26,115.29,114.13,115.07,5894500,115.07
2014-03-14,114.36,114.90,113.68,114.10,6280000,114.10
2014-03-13,115.60,115.75,114.12,114.45,5405100,114.45
2014-03-12,114.14,116.36,114.13,115.65,6812900,115.65
2014-03-11,115.90,116.23,114.24,114.51,6274300,114.51
2014-03-10,115.45,115.94,114.12,115.84,6203000,115.84
2014-03-07,115.07,115.95,114.64,115.08,5055600,115.08
2014-03-06,114.71,115.15,114.35,114.85,5179600,114.85
2014-03-05,115.08,115.26,114.01,114.43,6703700,114.43
2014-03-04,115.89,116.27,115.26,115.32,5611500,115.32
2014-03-03,114.79,116.19,114.26,114.84,6046200,114.84
2014-02-28,115.87,116.74,114.81,115.33,6944600,115.33
2014-02-27,115.66,115.82,114.56,115.69,4922600,115.69
2014-02-26,114.82,115.86,114.40,115.51,6113800,115.51
2014-02-25,114.37,115.44,114.24,114.97,5976100,114.97
2014-02-24,113.37,115.00,113.05,114.15,7337900,114.15
2014-02-21,114.72,114.74,112.60,112.68,9221100,112.68
2014-02-20,113.51,115.33,113.10,114.60,8406900,114.60
2014-02-19,112.55,115.05,112.47,113.60,7989900,113.60
2014-02-18,113.86,114.11,112.60,112.71,6106600,112.71
2014-02-14,112.58,113.83,111.59,113.48,6776400,113.48
2014-02-13,111.73,112.74,111.18,112.51,5061600,112.51
2014-02-12,112.89,112.89,111.81,112.03,6422100,112.03
2014-02-11,112.03,113.87,111.95,113.58,6874700,112.58
2014-02-10,112.47,112.47,111.08,111.69,9251300,110.71
2014-02-07,111.91,112.12,110.39,112.05,7071800,111.06
2014-02-06,110.11,111.35,109.91,111.27,7983300,110.29
2014-02-05,111.00,111.00,109.27,109.52,10562900,108.56
2014-02-04,111.86,112.04,110.49,110.83,9717200,109.85
2014-02-03,112.35,112.46,110.54,111.14,11275300,110.16
2014-01-31,113.90,113.90,111.11,111.63,15523500,110.65
2014-01-30,116.31,116.96,115.18,116.45,5538700,115.42
2014-01-29,116.14,116.89,115.71,116.00,5522100,114.98
2014-01-28,116.72,117.03,116.07,116.84,4303700,115.81
2014-01-27,116.26,117.25,115.88,116.43,6179500,115.40
2014-01-24,117.87,118.14,116.26,116.29,7094900,115.27
2014-01-23,119.84,119.85,118.26,118.39,6205800,117.35
2014-01-22,120.51,120.76,119.97,120.43,4977500,119.37
2014-01-21,120.74,120.89,119.51,120.36,5602300,119.30
2014-01-17,119.03,120.38,118.74,119.29,7199700,118.24
2014-01-16,119.11,119.29,118.19,118.83,5041100,117.78
2014-01-15,119.69,120.07,119.05,119.18,5829300,118.13
2014-01-14,119.40,119.75,118.80,119.57,6904600,118.52
2014-01-13,120.81,120.90,119.01,119.25,6504200,118.20
2014-01-10,122.50,122.84,120.37,121.01,8127500,119.94
2014-01-09,123.42,123.42,122.02,123.29,5643500,122.20
2014-01-08,124.44,124.46,122.75,123.29,8282500,122.20
2014-01-07,124.42,125.32,123.65,125.07,4563300,123.97
2014-01-06,124.59,124.80,123.52,124.02,4252300,122.93
2014-01-03,124.60,124.89,123.86,124.35,3506000,123.26
2014-01-02,124.46,124.88,123.71,124.14,4540300,123.05
