Date,Open,High,Low,Close,Volume,Adj Close
2014-04-21,67.38,67.58,66.89,67.03,3658400,67.03
2014-04-17,67.16,67.71,66.58,66.98,6619300,66.98
2014-04-16,67.32,67.95,67.20,67.72,5004100,67.72
2014-04-15,66.64,67.14,65.98,66.90,4883200,66.90
2014-04-14,66.44,66.85,66.07,66.59,3976200,66.59
2014-04-11,66.00,66.59,65.91,66.09,4416900,66.09
2014-04-10,67.48,67.80,66.39,66.47,5278700,66.47
2014-04-09,67.01,67.73,66.87,67.52,3911000,67.52
2014-04-08,66.73,67.25,66.18,66.79,3747300,66.79
2014-04-07,67.26,67.69,66.40,66.76,5441800,66.76
2014-04-04,68.44,68.82,67.00,67.34,3752300,67.34
2014-04-03,68.23,68.68,67.66,68.01,2919500,68.01
2014-04-02,67.70,68.25,67.53,68.12,4250800,68.12
2014-04-01,67.14,67.96,67.01,67.76,3680300,67.76
2014-03-31,66.97,67.38,66.81,67.10,2831800,67.10
2014-03-28,66.71,67.30,66.30,66.62,2917300,66.62
2014-03-27,66.60,66.80,65.90,66.57,3463000,66.57
2014-03-26,67.47,67.74,66.49,66.51,4388600,66.51
2014-03-25,66.68,67.49,66.68,67.23,3754300,67.23
2014-03-24,67.15,67.44,66.00,66.49,3661600,66.49
2014-03-21,67.49,67.52,66.87,66.98,6827500,66.98
2014-03-20,65.78,66.65,65.73,66.58,2263900,66.58
2014-03-19,66.88,67.08,65.66,66.07,3232200,66.07
2014-03-18,66.44,67.05,66.44,66.80,2700300,66.80
2014-03-17,66.34,66.93,66.07,66.38,3976100,66.38
2014-03-14,65.92,66.47,65.68,65.77,4342000,65.77
2014-03-13,66.95,67.32,65.38,65.71,5697300,65.71
2014-03-12,65.76,66.66,65.52,66.43,5606400,66.43
2014-03-11,66.69,67.00,65.95,66.01,5883100,66.01
2014-03-10,67.16,67.58,66.91,67.35,2713500,67.35
2014-03-07,67.79,67.79,67.05,67.24,2931600,67.24
2014-03-06,67.33,67.95,67.33,67.50,3492100,67.50
2014-03-05,67.17,67.42,66.90,67.24,3342000,67.24
2014-03-04,66.61,67.30,66.61,67.26,4050500,67.26
2014-03-03,65.78,66.56,65.41,65.89,4007200,65.89
2014-02-28,66.02,66.72,65.98,66.62,4689300,66.62
2014-02-27,65.28,66.06,65.19,66.00,5119900,66.00
2014-02-26,64.82,65.72,64.75,65.51,4002700,65.51
2014-02-25,64.56,65.25,64.40,64.92,3684800,64.92
2014-02-24,64.81,65.25,64.58,64.58,5521100,64.58
2014-02-21,65.40,65.68,64.87,64.87,4887100,64.87
2014-02-20,64.40,65.46,64.11,65.35,5277400,65.35
2014-02-19,64.75,65.26,64.21,64.26,3778000,64.26
2014-02-18,64.48,65.14,64.08,64.71,4897000,64.71
2014-02-14,63.93,64.58,63.66,64.50,3564300,64.50
2014-02-13,63.20,64.15,63.05,63.98,2964400,63.98
2014-02-12,63.55,63.96,63.26,63.51,3886100,63.51
2014-02-11,63.38,64.56,63.35,64.29,4536500,63.84
2014-02-10,63.17,63.86,62.79,63.45,4315900,63.01
2014-02-07,63.06,63.54,62.65,63.45,4627200,63.01
2014-02-06,62.14,63.20,61.93,62.96,4938300,62.52
2014-02-05,61.15,62.22,60.64,61.90,6049100,61.47
2014-02-04,61.14,62.42,60.36,61.61,15052700,61.18
2014-02-03,61.05,61.52,59.95,59.99,5928600,59.57
2014-01-31,60.64,61.59,60.53,61.01,5779300,60.58
2014-01-30,61.02,61.99,60.72,61.54,4883600,61.11
2014-01-29,59.73,61.37,59.69,60.71,8335100,60.29
2014-01-28,60.86,61.15,59.35,59.57,6388000,59.15
2014-01-27,60.00,60.90,59.69,60.24,5402700,59.82
2014-01-24,61.24,61.41,59.95,59.97,5971000,59.55
2014-01-23,62.39,62.50,61.26,61.75,6622700,61.32
2014-01-22,64.00,64.00,62.89,63.02,3514700,62.58
2014-01-21,64.52,65.00,63.57,63.73,4856200,63.28
2014-01-17,64.13,64.37,63.65,64.02,3698100,63.57
2014-01-16,63.65,64.20,63.31,63.99,2847300,63.54
2014-01-15,63.54,63.83,63.42,63.73,3328500,63.28
2014-01-14,62.76,63.67,62.67,63.55,3096600,63.11
2014-01-13,63.04,63.46,62.50,62.66,3568500,62.22
2014-01-10,63.82,64.07,63.10,63.54,3750600,63.10
