Date,Open,High,Low,Close,Volume,Adj Close
2014-04-21,78.35,78.35,77.67,77.96,6253300,77.96
2014-04-17,76.26,77.68,75.91,77.09,6875000,77.09
2014-04-16,76.42,76.58,75.80,76.58,6104700,76.58
2014-04-15,76.29,76.40,74.61,75.89,7022900,75.89
2014-04-14,76.30,76.86,75.51,75.97,8677200,75.97
2014-04-11,76.62,77.06,75.65,75.70,8399100,75.70
2014-04-10,77.62,78.22,76.70,76.78,6201500,76.78
2014-04-09,77.24,77.93,77.14,77.76,8027600,77.76
2014-04-08,76.91,77.44,76.42,77.11,7371000,77.11
2014-04-07,78.69,78.69,77.03,77.13,11121300,77.13
2014-04-04,79.64,79.70,78.49,78.72,6422000,78.72
2014-04-03,79.95,80.02,78.98,79.40,5505400,79.40
2014-04-02,79.54,80.76,79.49,79.95,6611700,79.95
2014-04-01,79.24,80.29,79.24,79.38,6697600,79.38
2014-03-31,79.21,79.33,78.84,79.13,5736200,79.13
2014-03-28,78.92,79.50,78.49,78.72,5132700,78.72
2014-03-27,78.63,79.02,78.37,78.68,5803300,78.68
2014-03-26,79.49,79.78,78.70,78.87,6364600,78.87
2014-03-25,80.05,80.09,79.16,79.47,5375500,79.47
2014-03-24,80.41,80.46,79.20,79.66,7574200,79.66
2014-03-21,80.78,81.90,80.25,80.42,10086100,80.42
2014-03-20,79.71,80.24,79.47,80.09,5097800,80.09
2014-03-19,79.97,80.49,79.40,79.75,6568400,79.75
2014-03-18,79.65,80.56,79.62,79.82,5032600,79.82
2014-03-17,79.57,80.19,79.25,79.58,5547600,79.58
2014-03-14,78.82,79.88,78.79,79.38,6739000,79.38
2014-03-13,81.06,81.06,78.72,78.80,7665800,78.80
2014-03-12,80.73,80.85,80.24,80.56,7048700,80.56
2014-03-11,81.69,81.85,81.05,81.29,4667900,81.29
2014-03-10,82.44,82.54,81.73,82.18,4139000,81.71
2014-03-07,82.61,82.67,82.04,82.55,5287700,82.08
2014-03-06,82.78,82.89,82.23,82.41,6168400,81.94
2014-03-05,82.91,83.20,82.58,82.91,5069900,82.44
2014-03-04,82.89,83.20,82.71,82.87,6367600,82.40
2014-03-03,80.73,82.03,80.62,82.00,8359500,81.53
2014-02-28,81.89,83.10,81.39,82.03,7239600,81.56
2014-02-27,81.66,82.20,80.61,81.97,6040900,81.50
2014-02-26,80.99,82.71,80.79,81.70,9737800,81.23
2014-02-25,79.68,81.00,79.33,80.98,13421700,80.52
2014-02-24,77.84,78.25,77.46,77.87,11739500,77.42
2014-02-21,77.36,78.04,77.36,77.74,7764500,77.30
2014-02-20,76.59,77.56,76.54,77.48,5852200,77.04
2014-02-19,77.25,77.52,76.40,76.45,7767800,76.01
2014-02-18,77.92,78.08,77.07,77.57,4954700,77.13
2014-02-14,77.75,78.13,77.32,77.93,4752300,77.48
2014-02-13,77.34,77.87,76.94,77.59,6586900,77.15
2014-02-12,76.91,77.33,76.67,77.28,7345900,76.84
2014-02-11,76.44,76.99,76.17,76.70,6292900,76.26
2014-02-10,76.56,76.59,75.88,76.41,6343600,75.97
2014-02-07,76.17,76.60,75.85,76.45,6194200,76.01
