Date,Open,High,Low,Close,Volume,Adj Close
2014-04-21,73.91,74.06,73.32,73.90,3394500,73.90
2014-04-17,73.34,74.43,73.29,74.03,4503800,74.03
2014-04-16,72.84,73.18,72.50,73.10,2305600,73.10
2014-04-15,72.38,72.87,71.73,72.28,3888700,72.28
2014-04-14,71.70,72.46,71.30,72.38,3632400,72.38
2014-04-11,72.00,72.67,71.22,71.25,4349000,71.25
2014-04-10,73.77,74.17,72.25,72.45,4188300,72.45
2014-04-09,73.26,73.60,72.53,73.56,3539200,73.56
2014-04-08,72.22,73.11,71.90,72.92,6329800,72.92
2014-04-07,72.81,72.94,70.60,70.83,6926900,70.83
2014-04-04,74.37,74.50,72.52,72.84,4860100,72.84
2014-04-03,74.56,75.18,73.82,73.99,4127500,73.99
2014-04-02,74.71,75.00,74.32,74.54,3807300,74.54
2014-04-01,74.02,74.78,74.02,74.39,3699700,74.39
2014-03-31,74.00,74.19,73.45,73.86,3178300,73.86
2014-03-28,73.58,74.12,73.28,73.54,2993500,73.54
2014-03-27,73.31,74.10,73.01,73.32,4079300,73.32
2014-03-26,74.18,74.50,73.22,73.22,4268800,73.22
2014-03-25,75.35,75.51,73.59,73.65,5263500,73.65
2014-03-24,75.48,75.83,74.57,74.86,4999500,74.86
2014-03-21,77.10,77.31,75.00,75.21,15883500,75.21
2014-03-20,78.95,79.27,77.77,79.27,6220300,79.27
2014-03-19,79.35,79.96,78.56,79.15,2985200,79.15
2014-03-18,79.18,80.08,79.05,79.64,4122700,79.64
2014-03-17,78.87,79.14,78.52,78.98,4288800,78.98
2014-03-14,78.29,79.00,77.81,78.32,3043000,78.32
2014-03-13,79.25,79.73,78.33,78.53,4200200,78.53
2014-03-12,78.10,79.00,78.03,78.97,2148400,78.97
2014-03-11,79.05,79.62,78.57,78.80,2453300,78.80
2014-03-10,79.17,79.36,78.45,78.98,2672200,78.98
2014-03-07,79.10,80.09,79.08,79.46,4465400,79.46
2014-03-06,77.80,78.39,77.36,78.22,2768200,78.22
2014-03-05,78.52,78.60,77.36,77.42,3366600,77.42
2014-03-04,78.57,79.05,78.36,78.62,2830600,78.62
2014-03-03,77.63,77.99,76.55,77.39,3034600,77.39
2014-02-28,77.90,78.71,77.61,78.30,3437600,78.30
2014-02-27,78.00,78.39,77.48,78.02,3299600,78.02
2014-02-26,78.31,79.06,78.31,78.42,3958700,78.18
2014-02-25,77.73,78.52,77.57,78.11,3422000,77.87
2014-02-24,76.59,78.14,76.49,77.84,5536100,77.60
2014-02-21,75.39,76.66,75.36,76.48,4364300,76.25
2014-02-20,74.99,75.75,74.86,75.58,2790800,75.35
2014-02-19,74.61,75.55,74.61,74.82,2700700,74.59
2014-02-18,75.14,75.47,74.90,75.21,2967800,74.98
2014-02-14,74.87,75.18,74.20,75.07,3102400,74.84
2014-02-13,73.83,74.96,73.74,74.87,3080700,74.64
2014-02-12,74.31,74.81,73.84,74.11,3198100,73.88
2014-02-11,72.65,74.15,72.45,73.98,4369700,73.75
2014-02-10,72.73,72.99,72.12,72.67,3215200,72.45
2014-02-07,71.91,72.85,71.75,72.69,3373600,72.47
2014-02-06,70.75,72.27,70.50,71.51,3679300,71.29
2014-02-05,70.47,70.86,69.85,70.60,3683400,70.38
2014-02-04,70.96,71.24,70.34,70.51,3502100,70.29
2014-02-03,72.76,72.79,70.78,70.88,4758000,70.66
2014-01-31,72.99,73.31,72.36,72.85,4326000,72.63
2014-01-30,72.45,74.20,72.38,73.94,5219200,73.71
2014-01-29,72.31,72.57,71.51,71.77,5244400,71.55
2014-01-28,72.29,73.15,72.15,72.71,4534600,72.49
2014-01-27,71.91,72.26,71.72,71.90,5705800,71.68
2014-01-24,72.29,72.66,71.64,71.65,4606000,71.43
2014-01-23,73.01,73.18,72.02,72.73,4752600,72.51
2014-01-22,73.96,74.06,73.50,73.50,3712000,73.28
2014-01-21,74.14,74.60,73.41,73.75,6573500,73.52
2014-01-17,74.60,74.74,73.38,73.39,4925900,73.17
2014-01-16,75.23,75.38,74.35,74.79,2424000,74.56
2014-01-15,75.25,75.73,75.14,75.43,2926200,75.20
2014-01-14,75.10,75.34,74.65,75.17,3904200,74.94
2014-01-13,76.83,76.92,75.00,75.18,4131200,74.95
2014-01-10,77.00,77.35,76.70,76.92,2554000,76.68
