Date,Open,High,Low,Close,Volume,Adj Close
2014-04-14,35.28,35.37,35.06,35.36,15456600,35.36
2014-04-11,35.13,35.32,35.01,35.20,34551600,35.20
2014-04-10,35.15,35.43,34.97,35.12,35424600,35.12
2014-04-09,35.25,35.27,34.74,34.92,30493000,34.92
2014-04-08,35.05,35.27,34.91,35.27,29291700,35.27
2014-04-07,35.54,35.79,35.49,35.49,32673300,35.03
2014-04-04,35.83,35.88,35.50,35.55,29350200,35.09
2014-04-03,35.45,35.67,35.35,35.63,25397900,35.17
2014-04-02,35.16,35.48,35.04,35.37,28086800,34.91
2014-04-01,35.01,35.14,34.65,35.09,28773700,34.64
2014-03-31,35.30,35.50,34.99,35.07,30486500,34.62
2014-03-28,35.08,35.17,34.77,35.07,24745300,34.62
2014-03-27,34.66,35.03,34.60,34.96,33382700,34.51
2014-03-26,34.91,35.03,34.61,34.61,38594500,34.16
2014-03-25,34.38,34.89,34.37,34.72,33408500,34.27
2014-03-24,34.41,34.76,34.23,34.46,53804800,34.01
2014-03-21,34.34,34.80,34.13,34.30,51002700,33.86
2014-03-20,33.07,34.14,33.01,34.09,62615900,33.65
2014-03-19,33.02,33.34,32.82,32.96,31803400,32.53
2014-03-18,32.93,33.04,32.85,32.98,25998200,32.55
2014-03-17,32.68,32.89,32.53,32.89,23584900,32.46
2014-03-14,32.29,32.59,32.26,32.49,22368600,32.07
2014-03-13,32.50,32.66,32.30,32.35,21708400,31.93
2014-03-12,32.25,32.48,32.16,32.38,25024400,31.96
2014-03-11,32.53,32.53,32.14,32.23,20731600,31.81
2014-03-10,32.28,32.54,32.19,32.51,24935700,32.09
2014-03-07,32.48,32.59,32.26,32.54,27103000,32.12
2014-03-06,32.15,32.37,32.10,32.34,19531800,31.92
2014-03-05,32.24,32.24,32.01,32.13,24144600,31.71
2014-03-04,32.10,32.22,32.03,32.15,28444100,31.73
2014-03-03,31.80,31.98,31.76,31.86,30481700,31.45
2014-02-28,32.25,32.32,31.79,31.93,43468000,31.52
2014-02-27,31.99,32.30,31.81,32.23,54923000,31.81
2014-02-26,32.25,32.29,31.89,32.00,36742200,31.59
2014-02-25,32.51,32.52,32.05,32.17,41048100,31.75
2014-02-24,32.83,32.87,32.46,32.47,33499300,32.05
2014-02-21,33.08,33.23,32.78,32.80,19327200,32.37
2014-02-20,32.85,33.38,32.67,33.18,20488900,32.75
2014-02-19,32.72,33.02,32.60,32.85,19410900,32.42
2014-02-18,33.23,33.23,32.63,32.82,22311900,32.39
2014-02-14,33.38,33.38,33.06,33.15,18274800,32.72
2014-02-13,32.83,33.50,32.71,33.49,28062200,33.06
2014-02-12,32.91,33.07,32.81,32.94,16554700,32.51
2014-02-11,32.62,33.04,32.51,32.95,26228800,32.52
2014-02-10,32.45,32.46,32.22,32.44,20621000,32.02
2014-02-07,32.18,32.36,31.95,32.30,29170600,31.88
2014-02-06,32.31,32.31,31.74,32.00,45322100,31.59
2014-02-05,32.40,32.43,32.04,32.08,29793500,31.66
2014-02-04,32.08,32.45,32.00,32.45,35940100,32.03
2014-02-03,33.32,33.32,31.90,31.95,68010500,31.54
2014-01-31,32.97,33.69,32.77,33.32,34211900,32.89
2014-01-30,33.54,33.59,33.01,33.35,29077000,32.92
2014-01-29,32.40,33.55,32.01,33.31,83139800,32.88
2014-01-28,33.50,33.81,33.35,33.70,25457600,33.26
2014-01-27,33.53,33.74,33.43,33.51,32786300,33.08
2014-01-24,33.83,34.29,33.42,33.42,33184100,32.99
2014-01-23,33.22,33.80,33.15,33.80,28463300,33.36
2014-01-22,33.60,33.66,33.31,33.34,17411700,32.91
2014-01-21,33.84,34.00,33.20,33.57,29421500,33.13
2014-01-17,34.03,34.03,33.68,33.70,23921700,33.26
2014-01-16,33.89,34.08,33.81,33.96,16239000,33.52
2014-01-15,33.66,34.00,33.55,33.79,25786400,33.35
2014-01-14,33.33,33.55,33.16,33.48,22883600,33.05
2014-01-13,33.59,33.65,33.20,33.30,29281000,32.87
2014-01-10,33.74,33.81,33.51,33.62,25342100,33.18
