Date,Open,High,Low,Close,Volume,Adj Close
2014-04-21,75.70,76.48,74.79,74.95,6912500,74.95
2014-04-17,75.44,76.65,73.61,75.78,13422900,75.78
2014-04-16,79.49,79.54,77.47,78.19,8098100,78.19
2014-04-15,79.36,79.72,78.06,79.51,4719100,79.51
2014-04-14,79.44,79.68,78.38,79.18,4013700,79.18
2014-04-11,79.77,79.97,78.82,78.95,3418700,78.95
2014-04-10,81.42,81.99,79.78,79.99,4850000,79.99
2014-04-09,80.80,81.56,80.50,81.39,3308900,81.39
2014-04-08,81.07,81.55,80.11,80.66,4044900,80.66
2014-04-07,81.50,81.98,80.75,81.08,5286700,81.08
2014-04-04,82.69,82.93,81.37,81.53,4788100,81.53
2014-04-03,81.65,82.35,81.60,82.25,4214700,82.25
2014-04-02,81.54,81.74,81.27,81.61,3832100,81.61
2014-04-01,82.35,83.05,81.58,81.84,4339800,81.84
2014-03-31,82.08,82.27,81.41,81.99,3513700,81.99
2014-03-28,81.40,82.35,81.26,81.62,4787400,81.62
2014-03-27,81.58,81.90,80.78,81.02,5453900,81.02
2014-03-26,81.48,82.30,81.07,81.54,6910000,81.54
2014-03-25,81.59,82.15,80.98,81.10,4588800,81.10
2014-03-24,81.65,81.72,80.86,81.28,5306200,81.28
2014-03-21,82.19,83.32,81.30,81.34,11828100,81.34
2014-03-20,79.58,81.59,79.43,81.53,7786500,81.53
2014-03-19,78.07,80.30,77.94,79.96,9060100,79.96
2014-03-18,76.97,78.05,76.77,78.00,3670800,78.00
2014-03-17,76.14,77.02,76.09,76.76,3517900,76.76
2014-03-14,77.02,77.02,75.65,75.70,5128700,75.70
2014-03-13,77.76,78.10,76.96,77.01,3178600,77.01
2014-03-12,77.28,77.70,77.23,77.60,2875400,77.60
2014-03-11,77.91,78.45,77.52,77.78,3471200,77.50
2014-03-10,77.28,77.90,77.11,77.88,2986400,77.60
2014-03-07,78.01,78.07,77.04,77.40,3434700,77.12
2014-03-06,78.15,78.34,77.55,77.64,4200500,77.36
2014-03-05,78.26,78.50,77.58,77.99,3917600,77.71
2014-03-04,77.74,78.57,77.54,78.13,5164500,77.85
2014-03-03,76.70,77.46,76.53,77.10,3673400,76.82
2014-02-28,76.04,77.71,75.80,77.27,6176600,76.99
2014-02-27,75.78,76.41,75.60,76.02,4227300,75.75
2014-02-26,75.33,76.13,74.78,76.06,5433200,75.79
2014-02-25,75.98,76.14,75.13,75.32,3761800,75.05
2014-02-24,74.14,76.77,74.00,76.01,9559000,75.74
2014-02-21,73.43,74.10,73.34,73.81,4552300,73.54
2014-02-20,73.60,74.11,73.23,73.48,4134000,73.22
2014-02-19,73.55,74.31,73.42,73.55,3926500,73.29
2014-02-18,73.52,74.62,73.45,73.83,5538400,73.56
2014-02-14,71.16,73.84,71.00,73.52,6848800,73.26
2014-02-13,70.13,71.48,69.93,71.21,3788000,70.95
2014-02-12,70.91,71.30,69.98,70.24,4120600,69.99
2014-02-11,69.76,70.87,69.58,70.62,5543000,70.37
2014-02-10,70.91,71.07,69.57,69.74,7774000,69.49
2014-02-07,70.50,71.65,70.11,71.36,6902900,71.10
2014-02-06,70.77,71.06,70.09,70.87,4765600,70.61
2014-02-05,69.94,71.20,69.83,70.82,4394300,70.57
2014-02-04,70.80,71.00,69.80,70.51,4646100,70.26
2014-02-03,72.14,72.21,70.64,70.74,4526100,70.49
2014-01-31,71.87,72.35,71.45,72.28,4291500,72.02
2014-01-30,71.70,73.04,71.53,72.80,4254000,72.54
2014-01-29,71.39,72.96,70.84,71.26,6005100,71.00
2014-01-28,71.65,72.36,71.47,71.71,2932700,71.45
2014-01-27,71.31,72.20,71.14,71.65,4233600,71.39
2014-01-24,72.83,72.92,71.38,71.60,5523600,71.34
2014-01-23,72.70,73.69,72.49,73.20,5050300,72.94
2014-01-22,73.83,73.93,73.24,73.40,4864700,73.14
2014-01-21,72.72,73.62,72.41,73.16,6379300,72.90
2014-01-17,73.12,73.12,72.30,72.52,5551300,72.26
2014-01-16,74.13,74.84,72.15,72.76,8892800,72.50
2014-01-15,73.99,74.86,73.99,74.84,7043300,74.57
2014-01-14,74.05,74.34,73.69,74.02,5783900,73.75
2014-01-13,74.67,75.00,73.68,73.94,5248700,73.67
2014-01-10,76.20,76.30,74.55,74.70,6632200,74.43
