Date,Open,High,Low,Close,Volume,Adj Close
2014-04-21,208.98,209.50,208.39,209.13,2503100,209.13
2014-04-17,210.34,211.54,207.95,207.95,3341000,207.95
2014-04-16,207.00,209.56,205.48,209.36,3958200,209.36
2014-04-15,203.84,204.94,199.17,204.05,4803500,204.05
2014-04-14,199.80,201.95,198.01,201.01,5231400,201.01
2014-04-11,199.23,200.00,194.84,196.63,7484900,196.63
2014-04-10,208.26,209.07,200.15,201.55,5100900,201.55
2014-04-09,204.58,207.78,202.62,207.54,4785700,207.54
2014-04-08,202.82,205.92,202.00,202.59,5436400,202.59
2014-04-07,206.78,207.44,201.02,203.41,10031000,203.41
2014-04-04,215.57,215.71,205.75,207.70,6112300,207.70
2014-04-03,215.79,216.28,213.38,215.01,3552600,215.01
2014-04-02,214.78,216.50,213.37,214.66,2336200,214.66
2014-04-01,217.08,218.16,214.55,214.70,2272600,214.70
2014-03-31,212.79,215.86,211.67,215.86,2909800,215.86
2014-03-28,214.48,216.34,210.52,212.09,3737500,212.09
2014-03-27,214.89,216.17,213.05,215.77,2622400,215.77
2014-03-26,219.95,220.19,215.68,215.68,2664300,215.68
2014-03-25,222.19,223.04,218.40,218.40,2918800,218.40
2014-03-24,225.39,226.23,219.10,220.75,4557100,220.75
2014-03-21,222.97,232.67,219.70,223.37,9523100,223.37
2014-03-20,224.12,224.12,220.91,221.82,2972500,221.82
2014-03-19,226.61,227.09,222.00,223.82,1972200,223.82
2014-03-18,224.60,226.77,223.25,226.41,2076200,226.41
2014-03-17,221.99,223.88,221.38,223.78,2200000,223.78
2014-03-14,220.62,221.92,218.56,220.77,3423000,220.77
2014-03-13,226.66,227.49,220.43,220.78,2999100,220.78
2014-03-12,226.12,227.68,225.29,226.10,2348700,226.10
2014-03-11,225.95,228.39,224.63,227.18,2765700,227.18
2014-03-10,225.51,226.37,224.72,225.50,1837600,225.50
2014-03-07,224.95,225.73,223.54,225.56,2242800,225.56
2014-03-06,223.76,226.07,223.32,223.86,2280100,223.86
2014-03-05,225.62,225.80,222.30,222.81,2832100,222.81
2014-03-04,225.15,225.97,222.58,225.50,3721200,225.50
2014-03-03,223.24,224.04,219.59,221.44,4105700,221.44
2014-02-28,226.47,227.99,220.70,225.94,3501000,225.94
2014-02-27,226.19,227.80,225.60,226.28,2024400,226.28
2014-02-26,227.23,227.90,225.26,226.11,2603400,226.11
2014-02-25,226.19,228.43,225.49,227.11,2834900,227.11
2014-02-24,223.73,227.43,223.47,226.19,2704300,226.19
2014-02-21,223.73,224.67,222.98,223.36,2284000,223.36
2014-02-20,224.16,224.97,222.59,223.46,2202500,223.46
2014-02-19,225.87,227.79,223.68,223.88,2330500,223.88
2014-02-18,226.48,228.48,225.62,226.06,3356800,226.06
2014-02-14,224.27,226.24,223.51,226.00,3170500,226.00
2014-02-13,222.85,224.75,222.46,224.05,3289700,224.05
2014-02-12,223.44,224.90,222.89,224.17,3662700,224.17
2014-02-11,221.13,222.89,220.05,222.33,2452400,221.93
2014-02-10,221.89,222.13,219.99,220.55,2579200,220.15
2014-02-07,220.19,222.00,218.46,221.78,3134300,221.38
2014-02-06,216.08,219.01,215.78,219.01,3180400,218.62
2014-02-05,213.24,216.74,213.12,215.61,3380200,215.22
2014-02-04,214.16,215.88,211.38,214.54,3728400,214.15
2014-02-03,216.51,217.84,212.07,213.47,5415600,213.09
2014-01-31,216.13,218.90,215.11,215.43,6114300,215.04
2014-01-30,225.75,226.00,216.31,220.88,5010100,220.48
2014-01-29,219.10,220.74,216.50,217.12,4200000,216.73
2014-01-28,217.62,222.36,217.40,220.96,4463100,220.56
2014-01-27,222.07,222.07,215.12,216.22,4867700,215.83
2014-01-24,226.40,226.96,221.25,221.25,4010800,220.85
2014-01-23,231.66,232.33,227.66,228.25,3415600,227.84
2014-01-22,232.40,233.82,231.68,232.99,1813600,232.57
2014-01-21,234.39,235.50,230.82,231.93,4938100,231.51
2014-01-17,222.05,232.26,222.04,232.18,9586100,231.76
2014-01-16,223.19,223.76,221.29,221.77,3378500,221.37
2014-01-15,222.85,224.90,221.83,223.76,2822000,223.36
2014-01-14,218.74,222.65,218.33,222.65,2712900,222.25
2014-01-13,222.02,224.19,218.61,218.90,3388600,218.51
2014-01-10,221.84,222.74,220.01,221.13,1607400,220.73
